method,X1,X2,country,scale_x1,scale_x2
ELib-UQ,0.020133065,-0.043542523,MA,0.202684775,-0.673061836
ELib-UQ,-0.008661763,-0.040386745,MA,-0.087200207,-0.624281162
ELib-UQ,-0.128726435,-0.072688846,MA,-1.295922353,-1.123593319
ELib-UQ,0.001249351,-0.038618729,MA,0.012577539,-0.596951914
ELib-UQ,-0.107238675,-0.043710404,MA,-1.079599506,-0.675656871
ELib-UQ,-0.097259356,-0.030396515,MA,-0.979135113,-0.46985642
ELib-UQ,-0.021471225,-0.05819401,MA,-0.216156379,-0.899538304
ELib-UQ,0.00665287,-0.050840095,MA,0.066976164,-0.785864597
ELib-UQ,-0.024308891,-0.049033085,MA,-0.244723902,-0.757932603
ELib-UQ,-0.0894384,0.017584039,MA,-0.900399533,0.27180661
ELib-UQ,-0.002771314,-0.038885982,MA,-0.027899533,-0.601083008
ELib-UQ,-0.02988751,-0.026324571,MA,-0.300885305,-0.406914037
ELib-UQ,0.026730056,-0.000890654,MA,0.269098393,-0.013767356
ELib-UQ,0.035582434,0.015424681,MA,0.358217578,0.238428176
ELib-UQ,0.038929655,-0.000734527,MA,0.391914912,-0.011354001
ELib-UQ,-0.013889522,-0.041705483,MA,-0.139829416,-0.644665644
ELib-UQ,-0.08624572,0.153347506,MA,-0.868257989,2.370380644
ELib-UQ,-0.102134279,0.073718939,MA,-1.028212232,1.139516068
ELib-UQ,0.072993199,-0.05643787,MA,0.734841428,-0.872392638
ELib-UQ,0.065680417,-0.019421686,MA,0.661221758,-0.300212184
ELib-UQ,0.05522662,-0.047992414,MA,0.555980685,-0.741846358
ELib-UQ,0.032315987,-0.036493785,MA,0.325333404,-0.564105428
ELib-UQ,0.038661293,-0.018314736,MA,0.389213247,-0.283101412
ELib-UQ,0.326212996,-0.011152754,MA,3.284070693,-0.172394536
ELib-UQ,0.044126337,0.001284794,MA,0.444231262,0.019859795
ELib-UQ,-0.089061201,0.009169409,MA,-0.896602169,0.141736826
ELib-UQ,-0.081574755,0.050478635,MA,-0.821234181,0.780277303
ELib-UQ,0.042003448,-0.013292583,MA,0.422859585,-0.205471111
ELib-UQ,0.029989688,-0.006559286,MA,0.301913951,-0.101390653
ELib-UQ,-0.179976928,-0.008636287,MA,-1.811874331,-0.133496065
ELib-UQ,-0.157720441,-0.001858164,MA,-1.587812517,-0.028722713
ELib-UQ,-0.17504849,0.004194581,MA,-1.762258468,0.064838058
ELib-UQ,0.074221248,-0.034752227,MA,0.747204524,-0.537185165
ELib-UQ,0.008067336,-0.015938998,MA,0.081215958,-0.246378263
ELib-UQ,-0.035262365,-0.002925138,MA,-0.354995363,-0.045215543
ELib-UQ,-0.047366159,-0.039702397,MA,-0.476847382,-0.613702797
ELib-UQ,0.039017584,0.121835635,MA,0.392800116,1.883283512
ELib-UQ,0.07734364,-0.020501867,MA,0.778638452,-0.316909157
ELib-UQ,0.055337064,-0.061056593,MA,0.557092548,-0.943786891
ELib-UQ,-0.035480586,0.01089045,MA,-0.357192244,0.168339949
ELib-UQ,0.044180655,0.26327275,MA,0.444778092,4.069558394
ELib-UQ,-0.217241646,0.030400126,MA,-2.187027892,0.469912248
ELib-UQ,0.05101863,-0.021296796,MA,0.513617758,-0.329196827
ELib-UQ,-0.120806494,0.009206494,MA,-1.21619025,0.14231007
ELib-UQ,-0.154506855,-0.032698016,MA,-1.555460514,-0.505432049
ELib-UQ,0.060443854,-0.022810439,MA,0.608503931,-0.352594083
